institute_name, address1, address2, city, district, state, board, contact_no, email_address,category,branch_name
Jawahar Gurukul Vidyalaya,Nandanwan,Nandanwan,Nagpur,Nagpur,Maharashtra,State,7218185076,kakde.neeta@gmail.com,B,EAST CENTRE - NAGPUR
Jawaharlal Darda Convent,Kalmana,Kalmana,Nagpur,Nagpur,Maharashtra,State,,,B,EAST CENTRE - NAGPUR
Jeevan Vikas Boys,Umrer,Umrer,Umred,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Jeevan Vikas Vanita Vidyalaya,Umrer,Umrer,Umred,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Jeevan Vikas Vidyalaya(WCL),Umrer,Umrer,Umred,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Joshi Sir's Classes,Mahal,Mahal,Nagpur,Nagpur,Maharashtra,State,,,D,EAST CENTRE - NAGPUR
J.P English School,Ramna Maroti,Ramna Maroti,Nagpur,Nagpur,Maharashtra,State,,,B,EAST CENTRE - NAGPUR
K. John Public School,Asoli Gaon,Asoli Gaon,Nagpur,Nagpur,Maharashtra,CBSE,8806060672,noid@emailid.com,A,EAST CENTRE - NAGPUR
Kalpana Tution Classes,Behind Bhavans Shri krishna nagar Shesh Nagar,Shri krishna nagar,Nagpur,Nagpur,Maharashtra,CBSE,9890594400,noid@emailid.com,A,EAST CENTRE - NAGPUR
Keshav Nagar Madhaymik Vidyalaya,Jagnade Chowk  Near Geeta Mandir  Nandanvan,Nandanwan,Nagpur,Nagpur,Maharashtra,State,7122753813,m.keshavnagar@yahoo.com,B,EAST CENTRE - NAGPUR
Kothekar Classes,Near Stuti Grah  beside Mascot Honda Showroom  Mahal ,Mahal,Nagpur,Nagpur,Maharashtra,State,9960446245,manish.totlani@icadjee.com,A,EAST CENTRE - NAGPUR
Kendriya Vidyalaya Ajni,Ajni,Ajni,Nagpur,Nagpur,Maharashtra,CBSE,,,A,EAST CENTRE - NAGPUR
Lalita public school,Ring Road  Wardhaman Nagar  ,Wardhaman Nagar,Nagpur,Nagpur,Maharashtra,CBSE,9373844445,lpswnngp1@gmail.com,A,EAST CENTRE - NAGPUR
Major Hemant Jakate Vidyaniketan,Mhalgi Nagar,Mhalgi Nagar,Nagpur,Nagpur,Maharashtra,State,7122754545,mhjakatevidya@gmail.com,B,EAST CENTRE - NAGPUR
Modern High School,WCL  Umrer,WCL  Umrer,Umrer,Nagpur,Maharashtra,State,,,A,EAST CENTRE - NAGPUR
MSB High school,Bhandara Road,Bhandara Road,Nagpur,Nagpur,Maharashtra,ICSE,,,C,EAST CENTRE - NAGPUR
Nagpure Vidyalaya,Pardi,Pardi,Nagpur,Nagpur,Maharashtra,State,8007165932,noid@emailid.com,D,EAST CENTRE - NAGPUR
Nair Classes ,Omkar nagar,Omkar nagar,Nagpur,Nagpur,Maharashtra,CBSE,,,A,EAST CENTRE - NAGPUR
Navbharat High School,Reshimbagh Sq ,Reshimbagh,Nagpur,Nagpur,Maharashtra,State,9823080768,noid@emailid.com,C,EAST CENTRE - NAGPUR
New English High School,Chitnis Park Ground  Shrivastava Rd In Front Of  Mahal,Mahal,Nagpur,Nagpur,Maharashtra,State,7122731339,noid@emailid.com,C,EAST CENTRE - NAGPUR
New Ideal Girls High School,Umrer,Umrer,Wadsa,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
NMC Durga Nagar High School,Sharda Square Mnewada Road Durga Nagar,Sharda Square,Nagpur,Nagpur,Maharashtra,State,9765554591,noid@emailid.com,C,EAST CENTRE - NAGPUR
Om Shri Laxmi Narayan Vidya Mandir High School,Hudkeshwar,Hudkeshwar,Nagpur,Nagpur,Maharashtra,State,,,B,EAST CENTRE - NAGPUR
Om Vidyaniketan School,Umrer,Umrer,Umred,Nagpur,Maharashtra,CBSE,,,C,EAST CENTRE - NAGPUR
Pae Classes,Omkar nagar,Omkar nagar,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Pande Mam ( sanskrit),Shri krishna nagar,Shri krishna nagar,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Pandit Bachharaj Vyas Vidyalaya and Junior College,Near Rajabaksha Mandir Medical Square,Medical Square,Nagpur,Nagpur,Maharashtra,State,7122740767,pbvvkm@gmail.com,A,EAST CENTRE - NAGPUR
Poddar International School,Besa,Besa,Nagpur,Nagpur,Maharashtra,CBSE,7276002103,admissions@podar.org,A,EAST CENTRE - NAGPUR
Prabhodhan Convent and High School,Mahal,Mahal,Nagpur,Nagpur,Maharashtra,State,7122734433,,C,EAST CENTRE - NAGPUR
Prerna Convent & College,Reshimbagh Sq Beside Pakwasa Ayurvedic Hospital,Reshimbagh,Nagpur,Nagpur,Maharashtra,State,7122745296,prernaconvent1994@gmail.com,B,EAST CENTRE - NAGPUR
Prerna Public School,Vihirgaon Umred Road NAGPUR  Dighori,Vihirgaon,Nagpur,Nagpur,Maharashtra,CBSE,8983080305,ppsurvn@gmail.com,A,EAST CENTRE - NAGPUR
Priyadarshini Nagpur Public School,Old Bagadganj  Gangabai Ghat Road  Bhandara Road Nandanwan,Nandanwan,Nagpur,Nagpur,Maharashtra,CBSE,7126466084,pnpsngp@gmail.com,A,EAST CENTRE - NAGPUR
Public High School,Umrer,Umrer,Umred,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Raje Raghuji Vidyalaya,6  Lane Number 6  Chakradhar Nagar  Jawahar Nagar  Ayodhya nagar  Nagpur,Chakradhar Nagar,Nagpur,Nagpur,Maharashtra,State,7122750137,noid@emailid.com,C,EAST CENTRE - NAGPUR
Rajendra High School,Mahal,Mahal,Nagpur,Nagpur,Maharashtra,State,712722701,rajendradiamond@ymail.com,B,EAST CENTRE - NAGPUR
Ramesh Chandak High School,Pataleshwar Road  Near D D Nagar Vidyalay  Mahal,Mahal,Nagpur,Nagpur,Maharashtra,State,7122726119,noid@emailid.com,B,EAST CENTRE - NAGPUR
Saket Public School,Hudkeshwar Rd  Ingole Nagar  Chandrakiran Nagar,Hudkeshwar ,Nagpur,Nagpur,Maharashtra,State,9300922064,noid@emailid.com,C,EAST CENTRE - NAGPUR
Sanjuba High School,Gohni Sim Umred Road  Bahadura   Dighori Naka,Bahadura Umred Road,Nagpur,Nagpur,Maharashtra,State,0712274561,sanjuba_school@rediffmail.com,A,EAST CENTRE - NAGPUR
Sanjuba High School ( State),Chakradhar Nagar,Chakradhar Nagar,Nagpur,Nagpur,Maharashtra,State,,,A,EAST CENTRE - NAGPUR
Sanskar Vidya Sagar,Kdk College Of Engg. Campus Nandanwan,Nandanwan,Nagpur,Nagpur,Maharashtra,CBSE,7126561115,noid@emailid.com,A,EAST CENTRE - NAGPUR
Sanskar Vidya Sagar  Umred,Umrer,Umrer,Umrer,Nagpur,Maharashtra,CBSE,,,A,EAST CENTRE - NAGPUR
Sant Sawta High School,near Nit Garden Uday Nagar Nagpur,Uday Nagar,Nagpur,Nagpur,Maharashtra,State,7122743998,noid@emailid.com,C,EAST CENTRE - NAGPUR
Sarwashree Primary & High School & Junior College  Dighori  Nagpur,Umred Rd  Sarvashree Nagar  Dighori  Nagpur  Maharashtra 440034,Dighori,Nagpur,Nagpur,Maharashtra,State,1234567890,noid@emailid.com,C,EAST CENTRE - NAGPUR
School of Scholars  Beltarodi,Near Purthviraj Nagar  Beltarodi,Beltarodi,Nagpur,Nagpur,Maharashtra,CBSE,8055294870,vtcnn100@rediffmail.com,A,CHATRAPATI SQUARE CENTRE
Shahu's Garden High School & Junior College(Besa),Shahu Nagar  Manewada-Besa Road  Besa Rd  Nagpur  Maharashtra 440034,Manewada,Nagpur,Nagpur,Maharashtra,State,7122704103,noid@emailid.com,A,EAST CENTRE - NAGPUR
Sharda Mahila Vidyalaya, Mirchi Bajar Bridge  Umred Rd  Sakkardara  Azamshah Layout  Nagpur,Shakkardara Square,Nagpur,Nagpur,Maharashtra,State,7122744843,noid@emailid.com,C,EAST CENTRE - NAGPUR
Shivaji High School,Opp. to S D Hospital  Beside Nag Madi  Nag Canal  Ganesh Nagar  Azamshah Layout  Nadanwan Road Nanda,Nandanwan,Nagpur,Nagpur,Maharashtra,State,7122761274,shivajihighschoolnagpur@gmail.com,C,EAST CENTRE - NAGPUR
SHREE BALAJI CONVENT HIGH SCHOOL,Near Indira Gandhi High School Ayodhya Nagar,Ayodhya Nagar,Nagpur,Nagpur,Maharashtra,State,7122741991,noid@emailid.com,B,EAST CENTRE - NAGPUR
Shree Convent & School,Vinkar Colony  Manewada Sq.,Manewada,Nagpur,Nagpur,Maharashtra,State,7122704936,noid@emailid.com,B,EAST CENTRE - NAGPUR
Shree Pakwasa Gujrati Girls high School,Lakadganj  Quetta Colony ,Lakadganj,Nagpur,Nagpur,Maharashtra,State,7122767200,pgghs.jc@gmail.com,B,EAST CENTRE - NAGPUR
Shreyas high School,Wardhman Nagar,Wardhman nagar,Nagpur,Nagpur,Maharashtra,State,7122782653,noid@emailid.com,B,EAST CENTRE - NAGPUR
Shrimati Annapurnabai Deshmukh Madhyamik Kanya Shala And Kanishta Mahavidhyalay,Lakadganj,Lakadganj,Nagpur,Nagpur,Maharashtra,State,7122763619,,C,EAST CENTRE - NAGPUR
Shriniketan High School,Vishwakarma Nagar  behind Ajni Police station Ajni,Ajni,Nagpur,Nagpur,Maharashtra,State,7122771249,noid@emailid.com,C,EAST CENTRE - NAGPUR
Sidheshwar Vidyalaya,Vinkar Colony  Manewada,Manewada,Nagpur,Nagpur,Maharashtra,State,7122759595,noid@emailid.com,C,EAST CENTRE - NAGPUR
Somalwar Public School,Kapsi (Khurd) Pardi Bhandara Road  Maa umiya Dham,Maa umiya Branch,Nagpur,Nagpur,Maharashtra,State,7109270647,somalwarmaaumiya@yahoo.com,A,EAST CENTRE - NAGPUR
South Public School Omakar nagar,Omkar nagar,Omkar nagar,Nagpur,Nagpur,Maharashtra,State,7122745137,southpointonb@gmail.com,A,EAST CENTRE - NAGPUR
South point School Hanuman Nagar,Krida  Sq Hanuman Nagar,Hanuman Nagar,Nagpur,Nagpur,Maharashtra,State,7122745909,sps-nagpur@rediffmail.com,B,EAST CENTRE - NAGPUR
St. Paul High School(STATE),Hudkeshwar,Hudkeshwar,Nagpur,Nagpur,Maharashtra,State,7887882647,info@stpaulnagpur.com,B,EAST CENTRE - NAGPUR
St. Xaviers High school, Plot No. 3372/A  Hiwri Nagar ,Hiwari Nagar,Nagpur,Nagpur,Maharashtra,CBSE,7122715673,xaviers.hewry@ryangroup.org,A,EAST CENTRE - NAGPUR
Sai Sudha Madam Classes,Bhagwan nagar,Bhagwan nagar,Nagpur,Nagpur,Maharashtra,State,9561077584,noid@emailid.com,A,EAST CENTRE - NAGPUR
Suyash Convent and High school,Vaibhav Nagar  Dighori  Narsala Road  ,Dighori,Nagpur,Nagpur,Maharashtra,State,7116321170,suyashconvent1@gmail.com,B,EAST CENTRE - NAGPUR
Swami gajanan High School, Laxmi Narayan Colony   Kharbi Road Dighori  Nagpur,Kharbi Road,Nagpur,Nagpur,Maharashtra,State,9822724682,sheetal45j19@gmail.com,C,EAST CENTRE - NAGPUR
Swami Narayan high school,245  Central Ave Rd  Transport Nagar  East Wardhaman Nagar ,Wardhaman Nagar,Nagpur,Nagpur,Maharashtra,State,7770012931,swaminarayanschoolngp@gmail.com,A,EAST CENTRE - NAGPUR
J.N. Tata Parsi Girls High School,Ruikar Road,Ruikar Road,Nagpur,Nagpur,Maharashtra,State,,,A,EAST CENTRE - NAGPUR
Tejaswini Vidya Mandir Convent,Near SD Hospital Ganesh Nagar Nandanwan Road,Nandanwan,Nagpur,Nagpur,Maharashtra,State,7122741698,tvmhs@yahoo.com,A,EAST CENTRE - NAGPUR
Tiny Tots High School,Narendra Nagar,Narendra Nagar,Nagpur,Nagpur,Maharashtra,State,,,A,EAST CENTRE - NAGPUR
Ujjval Madhyamik & Ucch Madhyamik Vidyalaya,Nandanwan,Nandanwan,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Vaishali classes,Uday nagar,Uday nagar,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Vande Mataram High School,Manewada,Manewada,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Vanita Vikas Vidyalaya,Ganesh Nagar Rd  Juni Shukrawari  Ganesh Nagar  Azamshah Layout Nandanwan,Nandanwan,Nagpur,Nagpur,Maharashtra,State,7122740494,noid@emailid.com,C,EAST CENTRE - NAGPUR
Vidarbh Buniyadi High School,Shakkardara Square,Shakkardara Square,Nagpur,Nagpur,Maharashtra,State,,vidarbhbunyadi@gmail.com,C,EAST CENTRE - NAGPUR
Vidyaniketan English Medium School,Bhiwapur,Bhiwapur,Umred,Nagpur,Maharashtra,State,,,B,EAST CENTRE - NAGPUR
Vidya Niketan Convent,Wardhaman Nagar,Wardhaman Nagar,Nagpur,Nagpur,Maharashtra,State,,,B,EAST CENTRE - NAGPUR
Vijay Nimbalkar high School,Besa Road,Besa Road,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Vinayakrao Deshmukh High School,Lakadganj,Lakadganj,Nagpur,Nagpur,Maharashtra,State,7122762720,,C,EAST CENTRE - NAGPUR
Vithalrao Chamat High School,Dighori,Dighori,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Arunoday School,Dhanwantari Colony  Navsaari 444604,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7212531012,demo@gmail.com,B,AMRAVATI CENTRE
Bhawarilal Samra High School,?Sharda Vihar 444601,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7972236247,,A+,AMRAVATI CENTRE
Dnyanmata High School Amravati,?Camp Road 444602,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7212663263,,A+,AMRAVATI CENTRE
Ganeshdas Rathi,?State Highway 242 Panchawati chowk  Morshi Rd 444601,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7212660511,,C,AMRAVATI CENTRE
Golden Kids English School,?Dastur Nagar 444605,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,9422190715,,A+,AMRAVATI CENTRE
Holy Cross English School,?Maltekdi 444606,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,,,A+,AMRAVATI CENTRE
Indo Public School (IPS),?Ahead of Amravati University  Mardi road 444901,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7212100098,,A+,AMRAVATI CENTRE
Maharshi Public School,?Navsaari 444602,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,9028027555,,B,AMRAVATI CENTRE
Manibai Gujrati High School,?Amba Peth 444601,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,STATE,7212672866,,A,AMRAVATI CENTRE
Narayandas Laddha,Sharda Vihar 444602,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7212577590,,B,AMRAVATI CENTRE
New High School Main,?Amrawati Tahsil 444601,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7212562167,,C,AMRAVATI CENTRE
Nida Urdu High School,?Paradise Colony 444601,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,9823066786,,B,AMRAVATI CENTRE
Nootan Kanya High School,?Jog Chauk 444601,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7212571115,,D,AMRAVATI CENTRE
P R POTE PATIL GROUP OF EDUCATIONAL INSTITUTIONS, Shri Gajanan Township  Kathora Road - 444604 ,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7213200040,,A+,AMRAVATI CENTRE
P.R. Pote Patil International School, Shri Gajanan Township  Kathora Road - 444604 ,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7213200040,,A+,AMRAVATI CENTRE
Podar International School,Kathora Road,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7506645822,,A+,AMRAVATI CENTRE
Rajeshwari Union High School, Ward No 14    Postal Code: 444701 India,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,,,C,AMRAVATI CENTRE
Rajeshwari Vidya Mandir,?SH 243  Habib Nagar  Paranjpe Colony 444603,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,STATE,,,A,AMRAVATI CENTRE
Ramkrishna Krida Vidyalaya,?Patvipura 444601,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,,,C,AMRAVATI CENTRE
Saint Thomas English High School,?Paranjpe Colony 444603,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,,,C,AMRAVATI CENTRE
Sakshara Paradise English High School,?Amravati Old Bypass Rd  Juni Kotwali 444606,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7212541008,,B,AMRAVATI CENTRE
Saraswati High School,?Dastur Nagar Rd  Sindhu Nagar  Dastur Nagar 444605,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,,,C,AMRAVATI CENTRE
School Of Scholars,?Mouza Nimbora khurd  Near Sipna Engineering college  Badnera Road 444701,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,9921755522,,A+,AMRAVATI CENTRE
Shri Samartha Highschool,Badnera Road  Devrankar Nagar 444605,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7212572859,,A,AMRAVATI CENTRE
St. Francis High School  Amravati,?Amravati Bypass  Godawari Colony  Dastur Nagar 444607,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7212520171,,B,AMRAVATI CENTRE
St. George's English School,?SH 200 444602,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,,,B,AMRAVATI CENTRE
Takhatmal English High School,?Amravati   Guruchhaya Colony  Sai Nagar 444607,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,STATE,,,A,AMRAVATI CENTRE
Tomoae English Medium School,?Kathora Road  Kathora Gram 444601,AMRAVATI,AMRAVATI,AMRAVATI,Maharashtra,State,7212190409,,A+,AMRAVATI CENTRE
Little Bird School. Darwa,Darwa   Yavatmal,Darwa,Yavatmal,Yavatmal,Maharashtra,State,9527320661,littlebirdemnd111@gmail.com,B,YAVATMAL CENTRE
Monitor Club,Digras,Digras,Digras,Yavatmal,Maharashtra,State,9423465210,monitorclub@gmail.com,B,RESIDENTIAL CENTRE
Monabai H S,Digras,Digras ,Digras,Yavatmal,Maharashtra,State,9423616254,mksdigras@gmail.com,C,RESIDENTIAL CENTRE
Vidya Niketan English School  Digras,Digras,Digras ,Digras,Yavatmal,Maharashtra,State,9423465210,vidyaniketan@gmail.com,A,YAVATMAL CENTRE
Gurukul English Medium School  Digras,Digras,Digras,Digras,Yavatmal,Maharashtra,State,9423616254,gurukulcbse2008@rediffmail.com,B,YAVATMAL CENTRE
Narayanrao Koshatwar H S,Pusad,Pusad,Pusad,Yavatmal,Maharashtra,State,9423465210,narayanraokoshatwar@gmail.com,A,RESIDENTIAL CENTRE
Ishwar Deshmukh High School  Digras,Digras,Digras,Digras,Yavatmal,Maharashtra,State,9423616254,ishwardeshmukh@gmail.com,B,YAVATMAL CENTRE
St. Mary School  Pusad,Pusad,Pusad,Pusad,Yavatmal,Maharashtra,State,9423465210,ojhadc@rediffmail.com,A+,RESIDENTIAL CENTRE
JET KIDS  Pusad,Pusad,Pusad,Pusad,Yavatmal,Maharashtra,State,9423616254,jetkids@gmail.com,A,RESIDENTIAL CENTRE
NAVJEEVAN HIGH SCHOOL  Sakoli,Sakoli,Sakoli,Bhandara,Bhandara,Maharashtra,State,9423616254,principlendems@gmail.com,A,RESIDENTIAL CENTRE
JYOTIRGYAMA ,Pusad,Pusad,Pusad,Yavatmal,Maharashtra,State,,jespusad@gmail.com,A+,RESIDENTIAL CENTRE
Dinbai H S,Digras,Digras,Digras,Yavatmal,Maharashtra,State,9423465210,principal.dinbaihs@gmail.com,C,RESIDENTIAL CENTRE
Jijamata Kanya vidayalaya,Darwa,Darawa,Yavatmal,Yavatmal,Maharashtra,State,,,C,RESIDENTIAL CENTRE
Ishwar Deshmukh Military School,Digras,Digras ,Digras,Yavatmal,Maharashtra,State,,riddhidhanwant@rediffmail.com,A,RESIDENTIAL CENTRE
S' Tution Classes,Pusad,Pusad,Pusad,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
VED COACHING CLASSES,Pusad,Pusad,Pusad,Yavatmal,Maharashtra,State,,,B,RESIDENTIAL CENTRE
JYOTIRGAMAYA ENGLISH MEDIUM SCHOOL  Pusad,Pusad,Pusad,Pusad,Yavatmal,Maharashtra,State,9423616254,jyotirgmayapusad@gmail.com,A,RESIDENTIAL CENTRE
Bhavan's Lloyds Vidya Niketan,wardha,Wardha,Wardha,Wardha,Maharashtra,State,,,A+,RESIDENTIAL CENTRE
AGRAGRAMI HIGH SCHOOL,wardha,Wardha,Wardha,Wardha,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
AGRAGRAMI SCHOOL (CBSE),wardha,WARDHA ,Wardha,Wardha,Maharashtra,State,,,A+,RESIDENTIAL CENTRE
Alphonsa School,wardha,Wardha,Wardha,Wardha,Maharashtra,State,,,A,RESIDENTIAL CENTRE
BHARAT DNYAN MANDIR,Bus Stop Road Wardha,wardha,Wardha,Wardha,Maharashtra,State,,,B,RESIDENTIAL CENTRE
GANDHI CITY PUBLIC SCHOOL  Wardha,ARVI ROAD wardha,WARDHA,Wardha,Wardha,Maharashtra,State,,,A,RESIDENTIAL CENTRE
GANDHI CITY PUBLIC SCHOOL,Pulgaon,PULGAON,Wardha,Wardha,Maharashtra,State,,noemailid@gmail.com,A,RESIDENTIAL CENTRE
Jawahar Navoday Vidyalaya,,WARDHA,WARDHA,WARDHA,Maharashatra,CBSE,,,A,RESIDENTIAL CENTRE
K V   Pulgaon,Pulgaon,PULGAON,Wardha,Wardha,Maharashtra,State,,,A,RESIDENTIAL CENTRE
KESARIMAL HIGH SCHOOL,wardha,Wardha,Wardha,Wardha,Maharashtra,State,,,C,RESIDENTIAL CENTRE
MAHARISHI VIDYA MANDIR  Wardha,Wardha,WARDHA,Wardha,Wardha,Maharashtra,State,,,B,RESIDENTIAL CENTRE
NEW ENGLISH CONVENT  Wardha,wardha,WARDHA,Wardha,Wardha,Maharashtra,State,,,B,RESIDENTIAL CENTRE
NEW ENGLISH HIGH SCHOOL,wardha,Wardha,Wardha,Wardha,Maharashtra,State,,,C,RESIDENTIAL CENTRE
RAMABAI DESHMUKH SCHOOL,wardha,Wardha,Wardha,Wardha,Maharashtra,State,,,A,RESIDENTIAL CENTRE
SARASWATI ENGLISH MEDIUM  wardha ,wardha,Wardha,Wardha,Wardha,Maharashtra,State,,,B,RESIDENTIAL CENTRE
